gene_symbol,log2FC,pvalue,adj_pvalue,mean_mutant,mean_wildtype
HOXB6,0.6571871924580193,9.107085318323259e-09,4.0426095137388943e-16,6.217048254092166,5.559861061634146
PHLDA1,0.6255876142747564,3.5584334421585933e-13,7.955079538269062e-12,7.762359916181261,7.136772301906504
BMP4,0.6393580648642949,6.617657591152965e-15,4.1175127787959836e-11,8.087524307995393,7.448166243131098
SBSPON,0.733445105956558,4.975500774815647e-07,3.103116109433593e-10,4.944301894033793,4.210856788077236
TCN1,1.273253438110486,6.071126553283536e-11,9.22052345279937e-08,7.173520080695853,5.9002666425853665
PIPOX,-0.6417271764268291,1.0064686824447641e-10,1.4109916721196789e-07,4.384849956,5.026577132426829
SLITRK6,0.8376000657985608,1.523582227122794e-10,1.6238523064058404e-07,4.751013357104455,3.913413291305894
KLK11,0.6317275251139582,3.315139498909199e-10,3.940331567453488e-07,6.629470434751153,5.997742909637195
DUSP4,0.6836083251615802,4.565038409362607e-09,5.265530179509338e-07,6.625539596732719,5.941931271571138
REEP1,-0.7360738227051744,2.3348184105095376e-09,5.265530179509338e-07,5.261069291281107,5.997143113986281
TFF1,1.0521490156710005,2.1365314638311893e-09,1.6687836826424325e-06,10.809515463235023,9.757366447564022
SLC26A2,-0.8147551073280743,9.34711887270996e-09,1.798843570850558e-06,7.692457113490015,8.50721222081809
CA9,0.6644482636317708,8.734928150269417e-09,4.974814548083129e-06,7.149236699488479,6.484788435856708
L1TD1,0.8341700069259939,5.8599589325081954e-08,1.5734773068982868e-05,5.983397198290323,5.1492271913643295
CLDN2,0.7275460704798382,1.4397573605845582e-07,4.3976946195508785e-05,7.006210584354839,6.278664513875
GZMB,-0.6672300085848031,1.5094220975435864e-07,4.584869621288644e-05,6.610273171073732,7.277503179658535
COLCA2,0.6036517327814286,2.4007632129432136e-07,6.596066767219608e-05,5.887843106723501,5.284191373942073
MAP7D2,-0.7734720563983499,2.710767012457519e-07,7.301043665325855e-05,4.631043412336406,5.404515468734756
WASF3,-0.5942949703029532,5.225416817961602e-07,0.00012530687040440816,4.901195282852535,5.495490253155488
KLK6,0.6612870965015176,8.680120464999262e-07,0.0001929209700909897,6.283138531599078,5.62185143509756
SPINK4,1.0773507306838113,1.628930189041071e-06,0.0002855655917212945,9.16893715551613,8.091586424832318
C2CD4A,0.5968979167562685,2.117820151918191e-06,0.00034257933966309797,7.764629996622121,7.167732079865853
CES1,-0.5952988165435258,2.399337676459222e-06,0.00037162546022778453,6.087226000889402,6.6825248174329275
SLC26A3,-0.7979679603016039,3.342981995541692e-05,0.00043488300200609614,5.750781864829493,6.548749825131097
MMP7,0.6794883244643843,5.2149450437912735e-06,0.0006661848604422614,8.491880473327189,7.812392148862805
IL33,0.6332345070098775,5.742555946929925e-06,0.0007119597423999856,6.342449757695853,5.7092152506859755
FCGBP,0.9400747144335044,7.5762958798485e-06,0.0008813488877249293,8.683444271875578,7.743369557442073
CTSE,0.6986079486632297,1.4694970468674e-05,0.0014270826116780655,6.923159094815669,6.224551146152439
SLC6A14,0.7024608291678796,1.7156640015138736e-05,0.0015953049197750177,5.893300120225806,5.190839291057927
REG4,0.8536546430817081,0.00470488107746501,0.002102907986366434,7.794667809253457,6.941013166171747
SDR16C5,0.6871436164943932,2.8582057980322656e-05,0.0023049026844751343,7.0609872370645155,6.373843620570122
CLCA1,0.9992851726749326,0.00012059802216698122,0.006426605128635183,8.501892128751152,7.502606956076219
MUC2,0.7819308123635214,0.00012441505620609258,0.006559684858310619,9.28689513489401,8.504964322530489
SLCO1B3,0.6612781394821985,0.00014122842987144375,0.00718294363090343,5.5094396500645155,4.848161510582317
ITLN1,0.8588638315313313,0.00019110028599114123,0.008817222056173543,7.964083925110599,7.105220093579268
DUSP27,0.7334394384703549,0.00044784889231115415,0.0158869180838649,5.652460741110598,4.919021302640243
DUOX2,0.6669548399986791,0.0004474908432730611,0.0158869180838649,7.961670339626728,7.294715499628049
AGR3,0.6381949893151067,0.0010030378649907715,0.027577855867772696,9.035249962741934,8.397054973426828
