gene,degree,betweenness,closeness
CLCA1,6,0.06939571150097464,0.3508771929824561
SPINK4,6,0.04522417153996101,0.37593984962406013
MUC2,6,0.07056530214424951,0.37593984962406013
REG4,5,0.035672514619883036,0.3508771929824561
TFF1,5,0.06569200779727095,0.3289473684210526
FCGBP,3,0.0,0.27700831024930744
IL33,2,0.005847953216374269,0.10526315789473684
ITLN1,2,0.0,0.2506265664160401
AGR3,2,0.0,0.23923444976076552
GZMB,1,0.0,0.07017543859649122
SLC26A3,1,0.0,0.21929824561403508
DUSP4,1,0.0,0.05263157894736842
BMP4,1,0.0,0.05263157894736842
PHLDA1,1,0.0,0.05263157894736842
TCN1,1,0.0,0.05263157894736842
HOXB6,1,0.0,0.05263157894736842
MMP7,1,0.0,0.05263157894736842
CTSE,1,0.0,0.21052631578947367
CLDN2,1,0.0,0.22883295194508008
KLK11,1,0.0,0.07017543859649122
